Date,Forecast
2024-01-01,11047.088883908596
2024-02-01,11044.178534749039
2024-03-01,11041.268952319278
2024-04-01,11038.360136417323
2024-05-01,11035.45208684123
2024-06-01,11032.54480338911
2024-07-01,11029.63828585913
2024-08-01,11026.732534049508
2024-09-01,11023.827547758514
2024-10-01,11020.923326784474
2024-11-01,11018.019870925766
2024-12-01,11015.11717998082
2025-01-01,11012.21525374812
2025-02-01,11009.314092026203
2025-03-01,11006.413694613659
2025-04-01,11003.51406130913
2025-05-01,11000.615191911314
2025-06-01,10997.71708621896
2025-07-01,10994.819744030869
2025-08-01,10991.923165145898
2025-09-01,10989.027349362954
2025-10-01,10986.132296480999
2025-11-01,10983.238006299047
2025-12-01,10980.344478616164
2026-01-01,10977.45171323147
2026-02-01,10974.55970994414
2026-03-01,10971.668468553398
2026-04-01,10968.777988858525
2026-05-01,10965.88827065885
2026-06-01,10962.99931375376
2026-07-01,10960.111117942692
2026-08-01,10957.223683025133
2026-09-01,10954.33700880063
2026-10-01,10951.451095068776
2026-11-01,10948.565941629222
2026-12-01,10945.681548281667
2027-01-01,10942.797914825867
2027-02-01,10939.91504106163
2027-03-01,10937.032926788812
2027-04-01,10934.15157180733
2027-05-01,10931.270975917145
2027-06-01,10928.391138918278
2027-07-01,10925.512060610798
2027-08-01,10922.633740794827
2027-09-01,10919.756179270544
2027-10-01,10916.879375838174
2027-11-01,10914.003330298001
2027-12-01,10911.128042450357
2028-01-01,10908.253512095629
2028-02-01,10905.379739034255
2028-03-01,10902.506723066728
2028-04-01,10899.634463993592
2028-05-01,10896.762961615443
2028-06-01,10893.892215732929
2028-07-01,10891.022226146753
2028-08-01,10888.15299265767
2028-09-01,10885.284515066485
2028-10-01,10882.416793174058
2028-11-01,10879.5498267813
2028-12-01,10876.683615689177
2029-01-01,10873.818159698703
2029-02-01,10870.953458610948
2029-03-01,10868.089512227032
2029-04-01,10865.22632034813
2029-05-01,10862.36388277547
2029-06-01,10859.502199310326
2029-07-01,10856.64126975403
2029-08-01,10853.78109390797
2029-09-01,10850.921671573577
2029-10-01,10848.063002552339
2029-11-01,10845.205086645796
2029-12-01,10842.347923655541
2030-01-01,10839.49151338322
2030-02-01,10836.635855630528
2030-03-01,10833.780950199214
2030-04-01,10830.92679689108
2030-05-01,10828.073395507981
2030-06-01,10825.220745851822
2030-07-01,10822.36884772456
2030-08-01,10819.517700928205
2030-09-01,10816.66730526482
2030-10-01,10813.81766053652
2030-11-01,10810.968766545471
2030-12-01,10808.120623093891
2031-01-01,10805.273229984052
2031-02-01,10802.426587018277
2031-03-01,10799.58069399894
2031-04-01,10796.735550728468
